num_clients,alpha,partition_seed,status,total_records,hd_pairwise_mean,hd_pairwise_min,hd_pairwise_max,hd_pairwise_rms,mean_client_to_global_hd,max_client_to_global_hd,size_min,size_max,size_mean,size_std,size_cv,size_max_min_ratio,mean_absent_classes_per_client
5,0.1,42,OK,1673191,0.8203595448275374,0.08969168959099129,0.9997343043934599,0.8643874590326297,0.5994173277981284,0.9241153491860546,7276,902170,334638.2,392415.6681053395,1.1726565230907275,123.99257833974711,3.2
5,0.5,42,OK,1673191,0.2751272196862364,0.12101291262598579,0.5191098434420988,0.3114051267075515,0.1638840049697641,0.4250229374776504,25351,740734,334638.2,296056.47053249826,0.8847061409381781,29.219123505976096,0.0
5,1.0,42,OK,1673191,0.0941262480614117,0.04609637353731996,0.1535489435596431,0.10239159297217637,0.05755004533128013,0.12511846516846123,78267,519008,334638.2,150543.18152795895,0.44986848939529,6.631249441016009,0.0
5,,42,OK,1673191,3.7660600912330524e-05,0.0,7.037388512475502e-05,4.519890812764219e-05,2.4755067435503473e-05,5.267922269786261e-05,334634,334641,334638.2,2.4,7.171924783243514e-06,1.000020918376495,0.0
5,0.1,43,OK,1673191,0.7104902170643685,0.2939753808762493,0.9795752682058303,0.7610795696994077,0.47430456290598694,0.9039345021086842,6831,1494059,334638.2,581168.3987590516,1.7367066842908299,218.7174645000732,2.2
5,0.5,43,OK,1673191,0.45350291254423436,0.08886882785933141,0.8436704265692369,0.5465756437838154,0.26313661930359233,0.7928930583510978,11777,974813,334638.2,354049.3901626721,1.0580064982499668,82.77260762503184,0.2
5,1.0,43,OK,1673191,0.09465152786310377,0.049844757374909655,0.13068743993757848,0.09738686789018539,0.060300106579616194,0.07492300815900378,204644,783246,334638.2,224713.46253253275,0.6715116879439728,3.8273587302828327,0.2
5,,43,OK,1673191,3.7660600912330524e-05,0.0,7.037388512475502e-05,4.519890812764219e-05,2.4755067435503473e-05,5.267922269786261e-05,334634,334641,334638.2,2.4,7.171924783243514e-06,1.000020918376495,0.0
5,0.1,44,OK,1673191,0.7540885817871971,0.09891919114455883,0.9856918928361443,0.7948849961547721,0.5121776316095631,0.9017271691868703,4034,1117886,334638.2,433935.57679010375,1.2967305489633394,277.11601388200296,2.0
5,0.5,44,OK,1673191,0.4462197443429045,0.13786194245727107,0.6979663196493623,0.478048719416178,0.31503805958780967,0.612678195332141,16093,1279519,334638.2,479804.8339270458,1.4338017414839244,79.50779842167402,0.2
5,1.0,44,OK,1673191,0.13134195881014646,0.08787691677055887,0.20323683510999632,0.13580069148748386,0.08698079078231868,0.12048369714989522,96935,901585,334638.2,289047.50678765593,0.863761240610474,9.300923299117965,0.0
5,,44,OK,1673191,3.7660600912330524e-05,0.0,7.037388512475502e-05,4.519890812764219e-05,2.4755067435503473e-05,5.267922269786261e-05,334634,334641,334638.2,2.4,7.171924783243514e-06,1.000020918376495,0.0
10,0.1,42,OK,1673191,0.8256420981587873,0.05792803124616343,0.9994570998016857,0.855931090896027,0.6659339638050668,0.9535716806953202,1230,1171040,167319.1,346758.36121150706,2.0724374038080953,952.0650406504066,3.6
